"interaction","name","selected","shared interaction","shared name"
"interacts with","LDLRAD4 (interacts with) WWP1","false","interacts with","LDLRAD4 (interacts with) WWP1"
"interacts with","LDLRAD4 (interacts with) CUEDC1","false","interacts with","LDLRAD4 (interacts with) CUEDC1"
"interacts with","LDLRAD4 (interacts with) HECW2","false","interacts with","LDLRAD4 (interacts with) HECW2"
"interacts with","CCNC (interacts with) MED14","false","interacts with","CCNC (interacts with) MED14"
"interacts with","CCNC (interacts with) MED12","false","interacts with","CCNC (interacts with) MED12"
"interacts with","CCNC (interacts with) MED8","false","interacts with","CCNC (interacts with) MED8"
"interacts with","CCNC (interacts with) MED15","false","interacts with","CCNC (interacts with) MED15"
"interacts with","CCNC (interacts with) MED1","false","interacts with","CCNC (interacts with) MED1"
"interacts with","CCNC (interacts with) MED27","false","interacts with","CCNC (interacts with) MED27"
"interacts with","CCNC (interacts with) MED13L","false","interacts with","CCNC (interacts with) MED13L"
"interacts with","CCNC (interacts with) MED25","false","interacts with","CCNC (interacts with) MED25"
"interacts with","CCNC (interacts with) MED28","false","interacts with","CCNC (interacts with) MED28"
"interacts with","CCNC (interacts with) MED20","false","interacts with","CCNC (interacts with) MED20"
"interacts with","CCNC (interacts with) MED4","false","interacts with","CCNC (interacts with) MED4"
"interacts with","CCNC (interacts with) MED17","false","interacts with","CCNC (interacts with) MED17"
"interacts with","CCNC (interacts with) SPEN","false","interacts with","CCNC (interacts with) SPEN"
"interacts with","CCNC (interacts with) MED10","false","interacts with","CCNC (interacts with) MED10"
"interacts with","CCNC (interacts with) MED18","false","interacts with","CCNC (interacts with) MED18"
"interacts with","CCNC (interacts with) CDK19","false","interacts with","CCNC (interacts with) CDK19"
"interacts with","CCNC (interacts with) MED16","false","interacts with","CCNC (interacts with) MED16"
"interacts with","SPRY4 (interacts with) HAL","false","interacts with","SPRY4 (interacts with) HAL"
"interacts with","CCNC (interacts with) MED9","false","interacts with","CCNC (interacts with) MED9"
"interacts with","CCNC (interacts with) MED29","false","interacts with","CCNC (interacts with) MED29"
"interacts with","CCNC (interacts with) MED13","false","interacts with","CCNC (interacts with) MED13"
"interacts with","CCNC (interacts with) MED23","false","interacts with","CCNC (interacts with) MED23"
"interacts with","STK16 (interacts with) RIN3","false","interacts with","STK16 (interacts with) RIN3"
"interacts with","MRPS15 (interacts with) MRPS27","false","interacts with","MRPS15 (interacts with) MRPS27"
"interacts with","CCND1 (interacts with) CDK4","false","interacts with","CCND1 (interacts with) CDK4"
"interacts with","SPRY4 (interacts with) CCDC107","false","interacts with","SPRY4 (interacts with) CCDC107"
"interacts with","STK16 (interacts with) UNC119B","false","interacts with","STK16 (interacts with) UNC119B"
"interacts with","STK16 (interacts with) BLTP3A","false","interacts with","STK16 (interacts with) BLTP3A"
"interacts with","CCND1 (interacts with) CDK6","false","interacts with","CCND1 (interacts with) CDK6"
"interacts with","CCND1 (interacts with) CDK5","false","interacts with","CCND1 (interacts with) CDK5"
"interacts with","CCND1 (interacts with) CDKN1A","false","interacts with","CCND1 (interacts with) CDKN1A"
"interacts with","CCND1 (interacts with) CDKN1B","false","interacts with","CCND1 (interacts with) CDKN1B"
"interacts with","CCND1 (interacts with) CDKN1C","false","interacts with","CCND1 (interacts with) CDKN1C"
"interacts with","ZNF396 (interacts with) ZSCAN18","false","interacts with","ZNF396 (interacts with) ZSCAN18"
"interacts with","ZNF396 (interacts with) ZNF496","false","interacts with","ZNF396 (interacts with) ZNF496"
"interacts with","ZNF396 (interacts with) PGBD1","false","interacts with","ZNF396 (interacts with) PGBD1"
"interacts with","ZNF396 (interacts with) ZNF24","false","interacts with","ZNF396 (interacts with) ZNF24"
"interacts with","ZNF396 (interacts with) ZKSCAN1","false","interacts with","ZNF396 (interacts with) ZKSCAN1"
"interacts with","ZNF396 (interacts with) ZKSCAN8","false","interacts with","ZNF396 (interacts with) ZKSCAN8"
"interacts with","ZNF396 (interacts with) EPM2AIP1","false","interacts with","ZNF396 (interacts with) EPM2AIP1"
"interacts with","BCL2L12 (interacts with) PSME3","false","interacts with","BCL2L12 (interacts with) PSME3"
"interacts with","BCL2L12 (interacts with) PITRM1","false","interacts with","BCL2L12 (interacts with) PITRM1"
"interacts with","BCL2L12 (interacts with) HMCES","false","interacts with","BCL2L12 (interacts with) HMCES"
"interacts with","BCL2L12 (interacts with) ZYG11B","false","interacts with","BCL2L12 (interacts with) ZYG11B"
"interacts with","ZNF396 (interacts with) ZNF446","false","interacts with","ZNF396 (interacts with) ZNF446"
"interacts with","BCL2L12 (interacts with) NPR2","false","interacts with","BCL2L12 (interacts with) NPR2"
"interacts with","PRRT2 (interacts with) NDUFA2","false","interacts with","PRRT2 (interacts with) NDUFA2"
"interacts with","PRRT2 (interacts with) SYNGR2","false","interacts with","PRRT2 (interacts with) SYNGR2"
"interacts with","PRRT2 (interacts with) NDUFS6","false","interacts with","PRRT2 (interacts with) NDUFS6"
"interacts with","BCL2L12 (interacts with) PSME3IP1","false","interacts with","BCL2L12 (interacts with) PSME3IP1"
"interacts with","PRRT2 (interacts with) NDUFS4","false","interacts with","PRRT2 (interacts with) NDUFS4"
"interacts with","PRRT2 (interacts with) NDUFB3","false","interacts with","PRRT2 (interacts with) NDUFB3"
"interacts with","PRRT2 (interacts with) MPO","false","interacts with","PRRT2 (interacts with) MPO"
"interacts with","PRRT2 (interacts with) CTSG","false","interacts with","PRRT2 (interacts with) CTSG"
"interacts with","PRRT2 (interacts with) AZU1","false","interacts with","PRRT2 (interacts with) AZU1"
"interacts with","PRRT2 (interacts with) NDUFV3","false","interacts with","PRRT2 (interacts with) NDUFV3"
"interacts with","PRRT2 (interacts with) NDUFB8","false","interacts with","PRRT2 (interacts with) NDUFB8"
"interacts with","PRRT2 (interacts with) NDUFA7","false","interacts with","PRRT2 (interacts with) NDUFA7"
"interacts with","PRRT2 (interacts with) NDUFC2","false","interacts with","PRRT2 (interacts with) NDUFC2"
"interacts with","PRRT2 (interacts with) NDUFB10","false","interacts with","PRRT2 (interacts with) NDUFB10"
"interacts with","PRRT2 (interacts with) NDUFB9","false","interacts with","PRRT2 (interacts with) NDUFB9"
"interacts with","P2RY10 (interacts with) ATM","false","interacts with","P2RY10 (interacts with) ATM"
"interacts with","P2RY10 (interacts with) NCOA4","false","interacts with","P2RY10 (interacts with) NCOA4"
"interacts with","PRRT2 (interacts with) LCLAT1","false","interacts with","PRRT2 (interacts with) LCLAT1"
"interacts with","PRRT2 (interacts with) BRI3BP","false","interacts with","PRRT2 (interacts with) BRI3BP"
"interacts with","PRRT2 (interacts with) TBRG4","false","interacts with","PRRT2 (interacts with) TBRG4"
"interacts with","PRRT2 (interacts with) NDUFA12","false","interacts with","PRRT2 (interacts with) NDUFA12"
"interacts with","P2RY10 (interacts with) RUSF1","false","interacts with","P2RY10 (interacts with) RUSF1"
"interacts with","P2RY10 (interacts with) TARS2","false","interacts with","P2RY10 (interacts with) TARS2"
"interacts with","P2RY10 (interacts with) INTS2","false","interacts with","P2RY10 (interacts with) INTS2"
"interacts with","P2RY10 (interacts with) FASTKD1","false","interacts with","P2RY10 (interacts with) FASTKD1"
"interacts with","P2RY10 (interacts with) NAT14","false","interacts with","P2RY10 (interacts with) NAT14"
"interacts with","P2RY10 (interacts with) RUFY2","false","interacts with","P2RY10 (interacts with) RUFY2"
"interacts with","P2RY10 (interacts with) OTULIN","false","interacts with","P2RY10 (interacts with) OTULIN"
"interacts with","SSBP2 (interacts with) SPR","false","interacts with","SSBP2 (interacts with) SPR"
"interacts with","SSBP2 (interacts with) CRK","false","interacts with","SSBP2 (interacts with) CRK"
"interacts with","SSBP2 (interacts with) TAGLN","false","interacts with","SSBP2 (interacts with) TAGLN"
"interacts with","SSBP2 (interacts with) UBE2V2","false","interacts with","SSBP2 (interacts with) UBE2V2"
"interacts with","SSBP2 (interacts with) TPD52L2","false","interacts with","SSBP2 (interacts with) TPD52L2"
"interacts with","SSBP2 (interacts with) SNX3","false","interacts with","SSBP2 (interacts with) SNX3"
"interacts with","SSBP2 (interacts with) GSPT1","false","interacts with","SSBP2 (interacts with) GSPT1"
"interacts with","SSBP2 (interacts with) ECHS1","false","interacts with","SSBP2 (interacts with) ECHS1"
"interacts with","SSBP2 (interacts with) OTUB1","false","interacts with","SSBP2 (interacts with) OTUB1"
"interacts with","SSBP2 (interacts with) SSBP4","false","interacts with","SSBP2 (interacts with) SSBP4"
"interacts with","SSBP2 (interacts with) SSBP3","false","interacts with","SSBP2 (interacts with) SSBP3"
"interacts with","SSBP2 (interacts with) NAA50","false","interacts with","SSBP2 (interacts with) NAA50"
"interacts with","SSBP2 (interacts with) TST","false","interacts with","SSBP2 (interacts with) TST"
"interacts with","SSBP2 (interacts with) LDB1","false","interacts with","SSBP2 (interacts with) LDB1"
"interacts with","SSBP2 (interacts with) ISL2","false","interacts with","SSBP2 (interacts with) ISL2"
"interacts with","SSBP2 (interacts with) SUGT1","false","interacts with","SSBP2 (interacts with) SUGT1"
"interacts with","SSBP2 (interacts with) SBDS","false","interacts with","SSBP2 (interacts with) SBDS"
"interacts with","ACP5 (interacts with) PLEKHG3","false","interacts with","ACP5 (interacts with) PLEKHG3"
"interacts with","SSBP2 (interacts with) STN1","false","interacts with","SSBP2 (interacts with) STN1"
"interacts with","SSBP2 (interacts with) TIGAR","false","interacts with","SSBP2 (interacts with) TIGAR"
"interacts with","SSBP2 (interacts with) RBM12","false","interacts with","SSBP2 (interacts with) RBM12"
