g1,g2,p(Interactor)
11157,51691,0.999472488714218
11157,9129,0.99977176406842
11157,10419,0.997471592940194
11157,64852,0.999995576121782
11157,9128,0.97774660256871
11157,83732,0.999752666726372
11157,9733,0.99988549232407
11157,26121,0.80072156080597
11157,56257,0.999196248050898
11157,219988,0.99999976078675
11157,79084,0.937050110414969
11157,9465,0.999995984222364
11157,11193,0.9977952255888
11157,23658,0.99999992886975
11157,6633,0.866041981806414
11157,1207,0.999995324520016
11157,55352,0.999536061233332
11157,27257,0.9999999662952
11157,51690,0.99998803709553
11157,6635,0.9601487324366
11157,84967,0.997911115087838
11157,6632,0.766860842432708
11157,27258,0.99999117718228
11157,8487,0.772773226736767
11157,118472,0.99535310568839
55090,9482,0.847612752131273
440145,10844,0.999452097046638
440145,5116,0.999959748561171
440145,114791,0.99999976818591
440145,27229,0.999958778745195
440145,7283,0.991932134476534
440145,10426,0.99996588898139
440145,85378,0.999993990854612
440145,653784,0.999994599404698
440145,80097,0.999841669986212
440145,29922,0.995239124168924
4900,55223,0.999999990457196
4900,84455,0.999999918334116
26471,6407,0.999999233436052
26471,6406,0.999998084105471
389336,7009,0.783112914570945
11142,7298,0.918451605918412
11142,5568,0.826870421002943
11142,5567,0.990140793736719
140823,51752,0.906252959044033
10879,10491,0.945604281598068
10879,590,0.999792942880675
6637,6631,0.99640766071038
6637,6626,0.999400670885564
6637,6629,0.99941304622921
6637,10081,0.999987071335415
6637,9129,0.99950167559033
6637,23451,0.977218854850291
6637,114034,0.999963083739287
6637,24148,0.99228941732215
6637,11218,0.76755663306845
6637,23020,0.977863193265492
6637,10594,0.976337655571605
6637,24144,0.999053999013727
6637,64852,0.999758578955114
6637,10992,0.993991157467264
6637,143884,0.99969129878327
6637,27336,0.996859534389117
6637,11066,0.99980554874299
6637,55783,0.999994308855565
6637,60625,0.999939355541787
6637,50628,0.76673099825898
6637,9343,0.89537180458846
6637,94104,0.999784047104876
6637,22950,0.999925311916467
6637,51340,0.996568160319604
6637,9733,0.99756295625593
6637,9416,0.99449332197997
6637,26121,0.86931173012636
6637,10291,0.987213653960406
6637,56949,0.999016554734505
6637,84292,0.999065093710828
6637,79833,0.93549283628461
6637,56257,0.998423173563513
6637,55280,0.912585188247754
6637,9092,0.89676089628261
6637,22938,0.781025573497766
6637,154007,0.999999305249381
6637,9465,0.999121188317158
6637,55599,0.999999374390806
6637,10946,0.996212576587724
6637,55094,0.999894579058254
6637,6633,0.997959936178887
6637,1207,0.99966461898543
6637,151903,0.986472998558626
6637,8220,0.95816215997287
6637,10450,0.937492036179827
6637,51362,0.893633496803971
6637,9716,0.989762951082734
6637,6635,0.99995441137216
6637,11017,0.81011605525531
6637,6627,0.99896482832902
6637,25929,0.998229267343935
6637,25949,0.99634545693729
6637,6625,0.99991276741563
6637,10907,0.82668346616488
6637,8233,0.99999883420608
6637,51639,0.942766694757729
6637,79706,0.999938051174627
6637,6607,0.965894063378449
6637,134353,0.999996139393196
6637,84967,0.994726167444177
6637,10421,0.99391810932362
6637,6636,0.99321846355824
6637,10262,0.976937991630758
6637,253635,0.935458558068157
6637,6632,0.997158731653427
6637,6638,0.99999999999053
6637,6628,0.99971516427551
6637,27258,0.8152249980861
6637,8487,0.99552446589689
6637,10078,0.99285967130411
6637,96764,0.985709597883076
6637,6634,0.99739149631101
6637,55954,0.99836864707652
6637,338657,0.999964233286856
51499,27166,0.99999999997216
51499,51012,0.999999999979476
51499,55588,0.891236536703925
